2017-12-29 21:19:50.442 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.dao.UserDaoTest], using SpringBootContextLoader
2017-12-29 21:23:28.242 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-12-29 21:23:28.242 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-12-29 21:23:28.304 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2017-12-29 21:23:29.301 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2017-12-29 21:23:29.599 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - Started UserDaoTest in 5.028 seconds (JVM running for 7.031)
2017-12-29 21:23:30.004 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2017-12-29 21:23:30.909 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - ResultVO(code=0, message=成功, data=User(id=123, name=TangLingYun)) 123 TangLingYun
2017-12-29 21:23:30.940 [Thread-4] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@3f6b0be5: startup date [Fri Dec 29 21:23:25 CST 2017]; root of context hierarchy
2017-12-29 21:23:30.956 [Thread-4] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-12-29 21:27:16.704 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.dao.UserDaoTest], using SpringBootContextLoader
:3192017-12-29 21:27:16.720 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.dao.UserDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
:2642017-12-29 21:27:16.720 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.dao.UserDaoTest]: UserDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
:812017-12-29 21:27:16.920 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.dao.UserDaoTest
:2062017-12-29 21:27:16.936 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
:2602017-12-29 21:27:16.967 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@647fd8ce, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@159f197, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@78aab498, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5dd6264, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1ffe63b9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@51e5fc98, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7c469c48, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@12e61fe6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7ee955a8, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1677d1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@48fa0f47, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6ac13091]
:1872017-12-29 21:27:17.577 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - Starting UserDaoTest on Mick with PID 6708 (started by Administrator in E:\dev\seckill)
:482017-12-29 21:27:17.577 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - No active profile set, falling back to default profiles: default
:5932017-12-29 21:27:17.640 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7e7be63f: startup date [Fri Dec 29 21:27:17 CST 2017]; root of context hierarchy
:5832017-12-29 21:27:18.235 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
:302017-12-29 21:27:18.766 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
:1652017-12-29 21:27:19.359 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
:1552017-12-29 21:27:20.637 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@7e7be63f: startup date [Fri Dec 29 21:27:17 CST 2017]; root of context hierarchy
:5342017-12-29 21:27:20.746 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/test],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.controller.SampleController.thymeleaf(org.springframework.ui.Model)
:5432017-12-29 21:27:20.746 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
:5432017-12-29 21:27:20.746 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
:5432017-12-29 21:27:20.875 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
:3622017-12-29 21:27:20.875 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
:3622017-12-29 21:27:20.937 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
:3622017-12-29 21:27:21.982 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
:1272017-12-29 21:27:22.303 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - Started UserDaoTest in 5.196 seconds (JVM running for 6.846)
:572017-12-29 21:27:22.646 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
:9222017-12-29 21:27:23.551 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - ResultVO(code=0, message=成功, data=User(id=123, name=TangLingYun)) 123 TangLingYun
:262017-12-29 21:27:23.593 [Thread-4] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@7e7be63f: startup date [Fri Dec 29 21:27:17 CST 2017]; root of context hierarchy
:9842017-12-29 21:27:23.604 [Thread-4] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
:18172017-12-29 21:28:21.799 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.dao.UserDaoTest], using SpringBootContextLoader
:[319]2017-12-29 21:28:21.814 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.dao.UserDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
:[264]2017-12-29 21:28:21.830 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.dao.UserDaoTest]: UserDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
:[81]2017-12-29 21:28:22.034 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.dao.UserDaoTest
:[206]2017-12-29 21:28:22.050 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
:[260]2017-12-29 21:28:22.096 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1ebea008, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@72d6b3ba, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1787f2a0, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7de62196, org.springframework.test.context.transaction.TransactionalTestExecutionListener@163370c2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@51bf5add, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7905a0b8, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@35a3d49f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@389b0789, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@13d9cbf5, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@478db956, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6ca18a14]
:[187]2017-12-29 21:28:22.752 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - Starting UserDaoTest on Mick with PID 6756 (started by Administrator in E:\dev\seckill)
:[48]2017-12-29 21:28:22.752 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - No active profile set, falling back to default profiles: default
:[593]2017-12-29 21:28:22.814 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@278bb07e: startup date [Fri Dec 29 21:28:22 CST 2017]; root of context hierarchy
:[583]2017-12-29 21:28:23.423 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
:[30]2017-12-29 21:28:24.050 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
:[165]2017-12-29 21:28:24.581 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
:[155]2017-12-29 21:28:25.892 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@278bb07e: startup date [Fri Dec 29 21:28:22 CST 2017]; root of context hierarchy
:[534]2017-12-29 21:28:26.018 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/test],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.controller.SampleController.thymeleaf(org.springframework.ui.Model)
:[543]2017-12-29 21:28:26.018 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
:[543]2017-12-29 21:28:26.018 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
:[543]2017-12-29 21:28:26.096 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
:[362]2017-12-29 21:28:26.096 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
:[362]2017-12-29 21:28:26.158 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
:[362]2017-12-29 21:28:27.406 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
:[127]2017-12-29 21:28:27.969 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - Started UserDaoTest in 5.685 seconds (JVM running for 7.598)
:[57]2017-12-29 21:28:28.366 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
:[922]2017-12-29 21:28:29.365 [main] INFO  com.bioodas.seckill.dao.UserDaoTest - ResultVO(code=0, message=成功, data=User(id=123, name=TangLingYun)) 123 TangLingYun
:[26]2017-12-29 21:28:29.412 [Thread-4] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@278bb07e: startup date [Fri Dec 29 21:28:22 CST 2017]; root of context hierarchy
:[984]2017-12-29 21:28:29.428 [Thread-4] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
:[1817]2017-12-29 21:29:12.785 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.dao.UserDaoTest], using SpringBootContextLoader
:[319]2017-12-29 21:29:12.801 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.dao.UserDaoTest]: no resource found for suffixes {-context.xml, Context.groovy}.
:[264]2017-12-29 21:29:12.816 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.dao.UserDaoTest]: UserDaoTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
:[81]2017-12-29 21:29:13.004 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.dao.UserDaoTest
