2018-01-10 01:51:58.085 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.service.ProductServiceTest], using SpringBootContextLoader
2018-01-10 01:52:01.476 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-01-10 01:52:03.852 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@52af26ee: startup date [Wed Jan 10 01:51:59 CST 2018]; root of context hierarchy
2018-01-10 01:52:03.972 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/login],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.web.controller.LoginController.index()
2018-01-10 01:52:03.974 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/login],methods=[POST]}" onto public com.bioodas.seckill.vo.ResultVO<?> com.bioodas.seckill.web.controller.LoginController.login(javax.servlet.http.HttpServletResponse,com.bioodas.seckill.web.form.UserForm)
2018-01-10 01:52:03.975 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/product/list],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.web.controller.ProductController.list(org.springframework.ui.Model,com.bioodas.seckill.entity.User)
2018-01-10 01:52:03.976 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/test],methods=[GET]}" onto public java.lang.Object com.bioodas.seckill.web.controller.SampleController.thymeleaf()
2018-01-10 01:52:03.980 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-01-10 01:52:03.980 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-01-10 01:52:04.075 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 01:52:04.075 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 01:52:04.105 [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in seckillExceptionHandler
2018-01-10 01:52:04.146 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 01:52:05.213 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-01-10 01:52:05.605 [main] INFO  com.bioodas.seckill.service.ProductServiceTest - Started ProductServiceTest in 7.05 seconds (JVM running for 8.813)
2018-01-10 01:52:05.785 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-01-10 01:52:06.587 [Thread-4] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@52af26ee: startup date [Wed Jan 10 01:51:59 CST 2018]; root of context hierarchy
2018-01-10 01:52:06.600 [Thread-4] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2018-01-10 01:56:23.068 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.service.ProductServiceTest], using SpringBootContextLoader
2018-01-10 01:56:23.082 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.service.ProductServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-01-10 01:56:23.084 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.service.ProductServiceTest]: ProductServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-01-10 01:56:23.324 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.service.ProductServiceTest
2018-01-10 01:56:23.335 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-01-10 01:56:23.363 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56528192, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6e0dec4a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@96def03, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5ccddd20, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1ed1993a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1f3f4916, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@794cb805, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@4b5a5ed1, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@59d016c9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3cc2931c, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@20d28811, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3967e60c]
2018-01-10 01:56:23.938 [main] INFO  com.bioodas.seckill.service.ProductServiceTest - Starting ProductServiceTest on Mick with PID 4184 (started by Administrator in E:\dev\seckill)
2018-01-10 01:56:23.938 [main] INFO  com.bioodas.seckill.service.ProductServiceTest - No active profile set, falling back to default profiles: default
2018-01-10 01:56:24.446 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2018-01-10 01:56:24.448 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@52af26ee: startup date [Wed Jan 10 01:56:24 CST 2018]; root of context hierarchy
2018-01-10 01:56:25.439 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-01-10 01:56:25.991 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-01-10 01:56:28.053 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@52af26ee: startup date [Wed Jan 10 01:56:24 CST 2018]; root of context hierarchy
2018-01-10 01:56:28.157 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/login],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.web.controller.LoginController.index()
2018-01-10 01:56:28.159 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/login],methods=[POST]}" onto public com.bioodas.seckill.vo.ResultVO<?> com.bioodas.seckill.web.controller.LoginController.login(javax.servlet.http.HttpServletResponse,com.bioodas.seckill.web.form.UserForm)
2018-01-10 01:56:28.160 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/product/list],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.web.controller.ProductController.list(org.springframework.ui.Model,com.bioodas.seckill.entity.User)
2018-01-10 01:56:28.161 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/test],methods=[GET]}" onto public java.lang.Object com.bioodas.seckill.web.controller.SampleController.thymeleaf()
2018-01-10 01:56:28.163 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-01-10 01:56:28.164 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-01-10 01:56:28.231 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 01:56:28.231 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 01:56:28.266 [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in seckillExceptionHandler
2018-01-10 01:56:28.309 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 01:56:29.274 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-01-10 01:56:29.607 [main] INFO  com.bioodas.seckill.service.ProductServiceTest - Started ProductServiceTest in 6.086 seconds (JVM running for 7.822)
2018-01-10 01:56:29.768 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-01-10 01:56:30.614 [Thread-4] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@52af26ee: startup date [Wed Jan 10 01:56:24 CST 2018]; root of context hierarchy
2018-01-10 01:56:30.628 [Thread-4] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2018-01-10 01:56:54.134 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.bioodas.seckill.service.ProductServiceTest], using SpringBootContextLoader
2018-01-10 01:56:54.149 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.service.ProductServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-01-10 01:56:54.151 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.service.ProductServiceTest]: ProductServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-01-10 01:56:54.401 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.service.ProductServiceTest
2018-01-10 01:56:54.417 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-01-10 01:56:54.457 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@1e802ef9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2b6faea6, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@778d1062, org.springframework.test.context.support.DirtiesContextTestExecutionListener@670002, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1f0f1111, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@49c386c8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@56528192, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6e0dec4a, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@96def03, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5ccddd20, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1ed1993a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1f3f4916]
2018-01-10 01:56:55.231 [main] INFO  com.bioodas.seckill.service.ProductServiceTest - Starting ProductServiceTest on Mick with PID 7104 (started by Administrator in E:\dev\seckill)
2018-01-10 01:56:55.234 [main] INFO  com.bioodas.seckill.service.ProductServiceTest - No active profile set, falling back to default profiles: default
2018-01-10 01:56:55.766 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@21e360a: startup date [Wed Jan 10 01:56:55 CST 2018]; root of context hierarchy
2018-01-10 01:56:55.860 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2018-01-10 01:56:56.899 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-01-10 01:56:57.566 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-01-10 01:56:59.776 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@21e360a: startup date [Wed Jan 10 01:56:55 CST 2018]; root of context hierarchy
2018-01-10 01:56:59.889 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/login],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.web.controller.LoginController.index()
2018-01-10 01:56:59.891 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/login],methods=[POST]}" onto public com.bioodas.seckill.vo.ResultVO<?> com.bioodas.seckill.web.controller.LoginController.login(javax.servlet.http.HttpServletResponse,com.bioodas.seckill.web.form.UserForm)
2018-01-10 01:56:59.892 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/product/list],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.web.controller.ProductController.list(org.springframework.ui.Model,com.bioodas.seckill.entity.User)
2018-01-10 01:56:59.894 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/test],methods=[GET]}" onto public java.lang.Object com.bioodas.seckill.web.controller.SampleController.thymeleaf()
2018-01-10 01:56:59.902 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-01-10 01:56:59.902 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-01-10 01:56:59.970 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 01:56:59.970 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 01:57:00.011 [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in seckillExceptionHandler
2018-01-10 01:57:00.049 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 01:57:01.006 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-01-10 01:57:01.394 [main] INFO  com.bioodas.seckill.service.ProductServiceTest - Started ProductServiceTest in 6.731 seconds (JVM running for 8.684)
2018-01-10 01:57:01.566 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2018-01-10 01:57:02.407 [Thread-4] INFO  o.s.w.context.support.GenericWebApplicationContext - Closing org.springframework.web.context.support.GenericWebApplicationContext@21e360a: startup date [Wed Jan 10 01:56:55 CST 2018]; root of context hierarchy
2018-01-10 01:57:02.417 [Thread-4] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2018-01-10 02:02:49.050 [main] INFO  com.bioodas.seckill.MainApplication - Starting MainApplication on Mick with PID 4416 (E:\dev\seckill\target\classes started by Administrator in E:\dev\seckill)
2018-01-10 02:02:49.065 [main] INFO  com.bioodas.seckill.MainApplication - No active profile set, falling back to default profiles: default
2018-01-10 02:02:49.571 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@589da3f3: startup date [Wed Jan 10 02:02:49 CST 2018]; root of context hierarchy
2018-01-10 02:02:49.709 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2018-01-10 02:02:50.881 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2018-01-10 02:02:51.349 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-01-10 02:02:52.769 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
2018-01-10 02:02:52.790 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2018-01-10 02:02:52.791 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.23
2018-01-10 02:02:52.978 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/seckill] - Initializing Spring embedded WebApplicationContext
2018-01-10 02:02:52.979 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3407 ms
2018-01-10 02:02:53.285 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2018-01-10 02:02:53.293 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-01-10 02:02:53.294 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-01-10 02:02:53.294 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-01-10 02:02:53.294 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2018-01-10 02:02:54.732 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@589da3f3: startup date [Wed Jan 10 02:02:49 CST 2018]; root of context hierarchy
2018-01-10 02:02:54.846 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/login],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.web.controller.LoginController.index()
2018-01-10 02:02:54.848 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/common/login],methods=[POST]}" onto public com.bioodas.seckill.vo.ResultVO<?> com.bioodas.seckill.web.controller.LoginController.login(javax.servlet.http.HttpServletResponse,com.bioodas.seckill.web.form.UserForm)
2018-01-10 02:02:54.849 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/product/list],methods=[GET]}" onto public java.lang.String com.bioodas.seckill.web.controller.ProductController.list(org.springframework.ui.Model,com.bioodas.seckill.entity.User)
2018-01-10 02:02:54.850 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/demo/test],methods=[GET]}" onto public java.lang.Object com.bioodas.seckill.web.controller.SampleController.thymeleaf()
2018-01-10 02:02:54.852 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-01-10 02:02:54.853 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-01-10 02:02:54.924 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 02:02:54.925 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 02:02:54.957 [main] INFO  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Detected @ExceptionHandler methods in seckillExceptionHandler
2018-01-10 02:02:55.009 [main] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-01-10 02:02:56.264 [main] INFO  o.s.w.servlet.view.freemarker.FreeMarkerConfigurer - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-01-10 02:02:56.853 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
2018-01-10 02:02:56.855 [main] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Bean with name 'dataSource' has been autodetected for JMX exposure
